Keyword,Script,Name,Description
zap2,"javascript:javascript:(function(){var%20d=document,i=0,l,em=0,ed,b=d.body,w=window,sl=[],hid=[],$=b.getElementsByTagName('*'),cTp=(d.all&&!w.opera)?'absolute':'fixed',css=d.createElement('style');css.type='text/css';css.media='all';var%20cT='#mPp{font-size:15px;padding:5px;background:#fdd;color:#000;position:'+cTp+';top:0;right:0;zIndex:1000;text-align:right}#mPp:hover{padding:.5em;line-height:1.6;}#mPp:hover%20u{display:none}#mPp%20i{display:none;text-align:left;cursor:default;color:#000}#mPp:hover%20i{display:block}#mPp%20b{border:1px%20outset%20#000;background:#fff;color:#666;padding:0%202px;margin-right:4px}#mPe{position:absolute;left:0;right:0;padding:5px%2010px;background:#fdd;text-align:left}#mPe%20textarea{width:99%;display:block}'+'.mPs,.mPs%20*{background:#ff0;color:#000;}.mPh{background:#ffc;}.mPi,.mPi%20*{background:#fff;width:auto;float:none;margin:1em%200;padding:0;}body.mPi{text-align:left;margin:0;}'.replace(/;/g,'%20!important;');if(css.styleSheet)css.styleSheet.cssText=cT;else%20css.appendChild(d.createTextNode(cT));d.getElementsByTagName('head')[0].appendChild(css);function%20nB(e){if(!e)var%20e=w.event;e.cancelBubble=true;if(e.stopPropagation)e.stopPropagation()}function%20over(e){nB(e);!em&&!this.isSel&&changeCn(this,'mPh')}function%20out(e){nB(e);!em&&!this.isSel&&changeCn(this)}function%20clik(e){nB(e);!em&&this.isSel?unSel(this):sel(this);return%20false}while(l=$.item(i++)){addEvents(l)}var%20h=d.createElement('a');h.id='mPp';h.href='http://mrclay.org/';h.innerHTML='<u>?</u><i><b>R</b>emove%20Selected</i><i><b>U</b>ndo%20Remove</i><i><b>I</b>solate%20Selected</i><i><b>P</b>rint%20Preview</i><i><b>W</b>iden%20Selected</i><i><i><b>B</b>ackwards</i><b>N</b>ext</i><i><b>D</b>eselect</i><i><b>C</b>opy%20Element</i><i><b>E</b>dit%20HTML</i><i><b>Esc</b>ape/Quit</i>';h.onclick=function(e){nB(e)};b.appendChild(h);d.onkeydown=function(e){var%20ls=sl.length?sl[sl.length-1]:0;if(!e)var%20e=window.event;if(e.keyCode==27){rm(h);rm(css);i=0;while(l=$.item(i++)){l.onmouseover=l.oldOnmouseover||null;l.onmouseout=l.oldOnmouseout||null;l.onclick=l.oldOnclick||null;l.oldOnmouseover=null;l.oldOnmouseout=null;l.oldOnclick=null}d.onkeydown=null;em&&rm(ed)}if(em)return%20true;switch(e.keyCode){case%2082:while(sl.length){ls=sl[sl.length-1];ls.style.display='none';unSel(ls);hid.push(ls)}break;case%2073:sel(h);while(b.hasChildNodes())b.removeChild(b.firstChild);while(sl.length){b.appendChild(sl[0]);unSel(sl[0])}break;case%2087:if(ls){unSel(ls);(ls!=b)&&sel(ls.parentNode)}break;case%2080:pp();break;case%2068:unSel(ls);break;case%2085:hid.length&&(hid.pop().style.display='');break;case%2069:ls&&ls.innerHTML&&edit(ls);break;case%2066:if(ls){l=d.getElementsByTagName('*').item(getSourceIndex(ls)-1);if(l&&l!=b){unSel(ls);sel(l)}}break;case%2078:if(ls){l=d.getElementsByTagName('*').item(getSourceIndex(ls)+1);if(l&&l!=h){unSel(ls);sel(l)}}break;case%2067:if(ls){l=ls.cloneNode(true);if(ls.id){l.id+='_copy'}ls.parentNode.insertBefore(l,ls.nextSibling);addEvents(l);i=0;var%20desc;while(desc=l.getElementsByTagName('*').item(i++))addEvents(desc);unSel(ls);sel(l)}break;default:return%20true}return%20false};function%20rm(l){l.parentNode.removeChild(l)}function%20changeCn(l,cN){l.className=l.className.replace(/\bmP[hs]\b/g,'');if(cN)l.className+=l.className?'%20'+cN:cN}function%20sel(l){changeCn(l,'mPs');l.isSel='1';sl.push(l)}function%20unSel(l){changeCn(l);l.isSel='';for(var%20i=0,len=sl.length;i<len;i++){if(sl[i]==l){sl.splice(i,1);return}}}function%20edit(l){em=1;var%20left=0,top=0,tmp=l,chg=0;if(tmp.offsetParent){while(tmp.offsetParent){left+=tmp.offsetLeft;top+=tmp.offsetTop;tmp=tmp.offsetParent}}ed=d.createElement('div');ed.id='mPe';b.appendChild(ed);ed.style.top=(top+l.offsetHeight+5)+'px';unSel(l);var%20oh=getOuterHTML(l).replace(/^\s*|\s*$/g,'').replace(/%20isSel[<>]*\u003E/g,'>').replace(/%20class=""""(?=[^<>]*>)/g,'');sel(l);var%20rows=Math.min(15,oh.split('\n').length+3);ed.innerHTML='<textarea%20id=mPta%20rows='+rows+'></textarea><button%20id=mPbu>done</button>';d.getElementById('mPta').value=oh;d.getElementById('mPta').onchange=function(){chg=1};function%20finEdit(){unSel(l);em=0;if(chg){var%20tmp=b.appendChild(d.createElement('div'));tmp.innerHTML=d.getElementById('mPta').value;i=0;var%20desc;while(desc=tmp.getElementsByTagName('*').item(i++))addEvents(desc);while(tmp.hasChildNodes())l.parentNode.insertBefore(tmp.firstChild,l);rm(l);rm(tmp)}rm(ed)}d.getElementById('mPbu').onclick=d.getElementById('mPbu').onkeypress=finEdit}function%20addEvents(l){if('String'!=typeof%20l.isSel){l.isSel='';l.oldOnmouseover=l.onmouseover;l.oldOnmouseout=l.onmouseout;l.oldOnclick=l.onclick;l.onmouseover=over;l.onmouseout=out;l.onclick=clik}}function%20getSourceIndex(l){if(l.sourceIndex)return%20l.sourceIndex;i=0;var%20el;while(el=d.getElementsByTagName('*').item(i)){if(el==l)return%20i;++i}}function%20getOuterHTML(l){if(l.outerHTML)return%20l.outerHTML;var%20dv=d.createElement('div');dv.appendChild(l.cloneNode(true));return%20dv.innerHTML}function%20pp(){var%20i=0,m,ss=d.styleSheets,wk=/webkit/i.test(navigator.userAgent);if(ss&&!wk){for(i=0;i<ss.length;i++){m=ss[i].media;if(m.mediaText)m.mediaText=media(m.mediaText);else%20ss[i].media=media(m)}}else{ss=[];var%20r,l;while(l=d.getElementsByTagName('link').item(i++)){r=l.getAttribute('rel');if(r&&/^style/i.test(r))ss.push(l)}i=0;while(l=d.getElementsByTagName('style').item(i++))ss.push(l);for(i=ss.length-1;i>=0;i--){if(wk)handleWk(ss[i]);else%20ss[i].media=media(ss[i].media)}}function%20media(m){return(m=='all')?m:(/projection/.test(m))?'print':(/speech/.test(m))?'screen':(/print/.test(m))?'screen,print,projection':'speech'}function%20handleWk(l){if(/print/.test(l.media)){var%20n=l.cloneNode(true);n.media='screen';l.parentNode.appendChild(n)}else%20if(/screen/.test(l.media)){l.disabled=true}}}})();",MyPage (Click2Zap Improved),"MyPage puts you in control of the current page: Remove, isolate, edit page items with keyboard control. On-screen print-preview emulation lets you see how the page will print while editing.

Usage
- Click to select/deselect elements (can select multiple)
- Perform actions via keyboard (mouse over [?] in the top right corner)

R - Remove selected element(s)
U - Undo removal
I - Isolate selected elements (removes everything else!) 
P - Print-Preview (wonâ€™t be 100% accurate, but itâ€™s faster than native print-preview on any browser Iâ€™ve used, and you can even reverse it in IE, FF & Opera. This is perfect for adjusting pages for print)
W - Widen last selected element (a selected table cell becomes a selected table row, etc.)
B - Backwards (move selection to the previous element) 
N - Next (move selection to the next element)
D - Deselect all
C - Copy the last selected element (duplicate is placed directly after the original) 
E - Edit HTML (of the last selected element)
Esc - Escape/Quit

Found at http://mrclay.org/index.php/2006/04/23/mypage-bookmarklet/"
avatar,http://www.flickr.com/photos/sikelianos/3322146088/,My Avatar,""
tiling,"window.location=""http://www.flickr.com/photos/sikelianos/sets/72157594233031615/"";",Tiling Backgrounds - a set on Flickr,A Flickr collection of tiling background images.
hrefs,"(function() {
    var i,
    c, x, h;
    for(i = 0; x = document.links[i]; ++i)  {
      h = x.getAttribute(""href"");
      x.title += "" "" + x.innerHTML;
      while(c = x.firstChild) x.removeChild(c);
      x.appendChild(document.createTextNode(h)); 
    } 
})()",Show Link HREFs,Changes the text of links to match their hrefs.
nypl,http://digitalgallery.nypl.org/nypldigital/dgkeysearchresult.cfm?keyword=(q),NYPL Digital Gallery Search,"NYPL Digital Gallery provides access to over 600,000 images digitized from primary sources and printed rarities in the collections of The New York Public Library, including illuminated manuscripts, historical maps, vintage posters, rare prints  and photographs, illustrated books, printed ephemera, and more."
starred,"window.location=""http://mail.google.com/mail/?search=query&view=tl&start=0&init=1&fs=1&q=is%3Astarred"";     ",Starred Gmail,""
sigma,"window.location=""https://github.com/heroku/sigma/search?q=""+args.join("" "");",Heroku Sigma Search,Sigma collects all of heroku's platform technical documentation from individual code repositories and wikis on Github into a single Git repository that is searchable via the built-in Github web interface.
duck,"window.location=""http://duckduckgo.com/?q=""+args.join("" "");",Duck Duck Go,"DuckDuckGo is a search engine, like Google."
dev,"window.location=""https://devcenter.heroku.com/articles?q=""+args.join("" "");",Heroku Dev Center,""
fup,"window.location=""http://flickr.com/photos/upload/"";",Flickr Upload Page,Just a quick hop to the Flickr Upload page.
charts,http://www.last.fm/user/(q)/charts/?charttype=recenttracks,Last.fm Charts - User Search,"Show recent listening history for a last.fm user

Usage
lu sikelianos"
n,"window.location=""http://www.wordnik.com/words/""+args.join("" "");",Wordnik Search,An ongoing project devoted to discovering all the words and everything about them.
tspy,http://www.torrentspy.com/search.asp?query=(q),TorrentSpy Quicksearch,""
archive,http://www.archive.org/search.php?query=(q),Archive.org Quicksearch,"The Internet Archive (IA) is a non-profit organization dedicated to maintaining an on-line library and archive of Web and multimedia resources. Located at the Presidio in San Francisco, California, this archive includes ""snapshots of the World Wide Web"" (archived copies of pages, taken at various points in time), software, movies, books, and audio recordings."
bay,"window.location=""http://thepiratebay.org/search/""+args.join("" "");",Pirate Bay Search,"The Pirate Bay is a Swedish website that indexes and tracks BitTorrent (""torrent"") files. It bills itself as ""the world's largest BitTorrent tracker""[1] and is ranked as the 98th most popular website by Alexa Internet.[2] The website is primarily funded with advertisements shown next to torrent listings. Initially established in November 2003 by the Swedish anti-copyright organization PiratbyrÃ¥n (""The Piracy Bureau""), it has been operating as a separate organization since October 2004."
gface,"window.location=""http://images.google.com/images?imgtype=face&q=""+args.join("" "");",Google Images Face Search,"When you add &imgtype=face to the picture search string, only photos with faces are showing up. This feature has not been officially announced yet and I have no idea how reliable it works.

See http://lifehacker.com/software/url-hacking/google-enables-face-recognition-in-image-search-264331.php"
de,http://dict.tu-chemnitz.de/dings.cgi?lang=en&service=deen&query=(q),Translate English to German or German to English (Beolingus),"Enter a term in German or English.. it translates in both directions simultaneously. A little history.. Since 1995 our online dictionary has offered you German <> English translations: fast, efficient, user-friendly and, of course, free. We chose the BEO (German for Hill Myna) as our symbol, because this amazing bird is a very communicative one, gathering and imitating words and noises. The word ""Beo"" comes from Indonesia and means ""chatterbox"". In South-Eastern Asia, the Beo is well known as a really communicative buddy, which talks a lot to its companions."
gmp3,http://www.google.com/search?complete=1&q=-inurl:htm%20-inurl:html%20intitle:%22index%20of%22%20mp3%20%22(q)%22,Google MP3 Search,"Use google to find what appear to be Apache Indexes of mp3 files, containing an ""Index of"" header."
hl,"javascript:(function(){var count=0, text, dv;text=""(q)"";if(text==null || text.length==0)return;dv=document.defaultView;function searchWithinNode(node, te, len){var pos, skip, spannode, middlebit, endbit, middleclone;skip=0;if( node.nodeType==3 ){pos=node.data.toUpperCase().indexOf(te);if(pos>=0){spannode=document.createElement(""SPAN"");spannode.style.backgroundColor=""yellow"";middlebit=node.splitText(pos);endbit=middlebit.splitText(len);middleclone=middlebit.cloneNode(true);spannode.appendChild(middleclone);middlebit.parentNode.replaceChild(spannode,middlebit);++count;skip=1;}}else if( node.nodeType==1&& node.childNodes && node.tagName.toUpperCase()!=""SCRIPT"" && node.tagName.toUpperCase!=""STYLE""){for (var child=0; child < node.childNodes.length; ++child){child=child+searchWithinNode(node.childNodes[child], te, len);}}return skip;}window.status=""Searching for '""+text+""'..."";searchWithinNode(document.body, text.toUpperCase(), text.length);window.status=""Found ""+count+"" occurrence""+(count==1?"""":""s"")+"" of '""+text+""'."";})();",Highlight a Search String on the Current Page,"When run, this bookmarklet will highlight all instances of your query on the current page with a yellow background. At the moment, there's a not way to clear the highlighting.

Usage: j hl dog"
a,"window.location=""http://www.amazon.com/s/ref=nb_sb_noss_2?field-keywords=""+args.join("" "");",Search Amazon,Searches all of amazon.com
qtag,http://queri.ac/queries/tag/(q),Search all Queriac Queries by Tag,""
gsel,window.location='http://www.google.com/search?q='+window.getSelection();,Google Search the Current Selection,"Perform a Google search on the selected text on the current page.

Remember: This is a bookmarklet, so calls to it must be run from your javascript bookmarklet."
yim,javascript:document.location.href='ymsgr:sendIM?(q)',Yahoo Messenger: New Message to Buddy,""
gim,javascript:document.location.href='gtalk:chat?jid=(q)',gTalk: New Message to Buddy,""
aim,javascript:document.location.href='aim:goim?screenname=(q)',AIM: New Message to Buddy,""
fu,window.location='http://flickr.com/photos/'+args[0];,Flickr User Quickjump,""
wolf,http://www53.wolframalpha.com/input/?i=(q),Wolfram|Alpha,"Wolfram|Alpha is a computational knowledge engine: it generates output by doing computations from its own internal knowledge base, instead of searching the web and returning links. For examples, see http://www53.wolframalpha.com/examples/"
queue,http://www.netflix.com/Queue,Netflix Queue,""
zip,http://zipskinny.com/index.php?zip=(q),ZipSkinny - Zip Code Info,Get demographic information for US zip codes
def,http://www.google.com/search?hl=en&lr=&oi=definel&defl=all&q=define: (q),Google Multilanguage Define,Provides definitions to your query in multiple languages.
tweet,http://twitter.com/statuses/update.xml?status=(q),Tweet to Twitter,Post to twitter right from the address bar.
flick,"t = '';
for (var n = 0; n < document.images.length; n++) {
    t += '<a href=/ onclick=\'document.f.url.value=document.images[' + n + '].src;document.f.submit();return false;\'><img border=0 src=' + document.images[n].src + '></a><br>';
};
if (t != '') {
  document.write('\<p\>Click an image to add it to your photostream\</p\>\<form name=f action=http://www.flickr.com/tools/sendto.gne method=get\>\<input type=hidden name=url\>\</form\>' + t + '');
  void(document.close())
} else {
  alert('No images!');
}",Send to Flickr,"From the page containing the image you want to upload to flickr, run the command and it will list all images on that page. Click the image you want to upload. Login to Flickr if it asks you to. Choose ""Upload To Flickr"" button. Voila! Your file should be uploaded into your account on Flickr.

Nabbed from http://www.transmit.net/vh/archives/2005/08/send_to_flickr_1.html"
r1280mac,"javascript:resizeTo(1280,800)",Resize Browser Window to 1280x800,""
bw,location.href='http://builtwith.com?'+location.href;,Open BuiltWith Profile for Current Page,"What's that site running? Use BuiltWith to discover the application framework, language and CMS tools behind a website. "
gist,"window.location=""http://gist.github.com/"";",Github - Create a new Gist,"Weâ€™d love versioning. Weâ€™d love SSL on our private pastes. Weâ€™d love to fork existing pastes. And you know what, weâ€™d love to push and pull our pastes using Git. Well, say hello to Gist."
last,http://www.last.fm/music/?q=(q),Last.fm Music Search,Search Last.fm
moby,"location=""http://www.dict.org/bin/Dict?Form=Dict1&Strategy=*&Database=moby-thes&Query=""+args.join("" "");",Moby Thesaurus at dict.org,"The Moby Thesaurus II contains 30,260 root words, with 2,520,264 synonyms and related terms - an average of 83.3 per root word. Each line consists of a list of comma-separated values, with the first term being the root word, and all following words being related terms.

More info at http://en.wikipedia.org/wiki/Moby_Project"
fox,https://addons.mozilla.org/en-US/firefox/search?q=(q)&cat=all,Firefox Add-ons Search,"Add-ons extend Firefox, letting you personalize your browsing experience. Take a look around and make Firefox your own."
powells,"window.location=""http://www.powells.com/s?kw=""+args.join("" "");",Powell's Book Search,"Powell's Books, with seven different locations, is in the Portland metropolitan area (with roots in Chicago, Illinois). Powell's headquarters location, Powell's City of Books, claims to be the largest independent new and used bookstore in the world.

http://en.wikipedia.org/wiki/Powell%27s_Books"
fts,http://flickr.com/search/?w=all&q=(q)&m=tags,Flickr Tag Search (Everyone's Photos),""
count,"javascript:(function()%7Bvar%20T=%7B%7D,W=%5B%5D,C=0,s,i;%20function%20F(n)%7Bvar%20i,x,a,w,t=n.tagName;if(n.nodeType==3)%7Ba=n.data.toLowerCase().split(/%5B%5Cs%5C(%5C)%5C:%5C,%5C.;%5C%3C%5C%3E%5C&%5C'%5C%22%5D/),i;for(i%20in%20a)if(w=a%5Bi%5D)%7Bw=%22%2",Word Count,""
sniff,http://usniff.com/q/(q),usniff.com | Torrent search made easy,""
iut,http://osx.iusethis.com/tag/(q),IUseThis.com OS X Tag Search,iusethis.com is a new way for you to organize your applications as well as discover new ones. You can also use it to check if your apps are up-to-date.
ruen,http://www.wordreference.com/ruen/(q),Translate Russian to English,""
babel,javascript:void(open('http://babelfish.yahoo.com/translate_url?doit=done&tt=url&intl=1&fr=bf-home&trurl='+encodeURIComponent(location.href)+'&lp=[:from]_[:to]&btnTrUrl=Translate'));,Translate Current Page with Babelfish,"Open the current page in a new window, translated with Babelfish. Takes standard two-character options for 'from' and 'to' languages.

Example (Converts current page from Russian to English)
j babel -f ru -t en"
shared,http://zeke.sikelianos.com/shared/,http://zeke.sikelianos.com/shared/,""
huge,http://words.bighugelabs.com/(q),Big Huge Thesaurus,"This site is based on source data from the Princeton University WordNet database, the Carnegie Mellon Pronouncing Dictionary, and suggestions from thousands of people on the internet just like you."
istock,http://www.istockphoto.com/file_search.php?text=(q)&action=file,iStockphoto.com Search,""
enru,http://www.wordreference.com/enru/(q),Translate English to Russian,""
sets,"window.location=""http://www.flickr.com/photos/sikelianos/sets/"";",My Photosets on Flickr,""
paris,"http://maps.google.com/maps/ms?hl=en&ie=UTF8&msa=0&msid=115099215088735124331.00000113078c8c9f11c37&ll=48.863134,2.3594&spn=0.044889,0.11158&z=14",Google Maps - Zeke Spots in Paris,""
paris_markets,"http://maps.google.com/maps/ms?hl=en&ie=UTF8&msa=0&msid=115099215088735124331.000434b5375b280f734d0&ll=48.856358,2.34026&spn=0.044895,0.11158&z=14",Google Maps - Paris Markets,""
provence,"http://maps.google.com/maps/ms?ie=UTF8&msa=0&msid=115099215088735124331.000457061f29bca7caf51&ll=43.866218,5.982056&spn=3.148344,7.141113&z=8","Google Maps - Zeke Spots in Provence, France",""
wusht,https://wush.net/trac/[:project]/ticket/(q),Wush Ticket Quickjump,""
jps,http://www.google.com/search?hl=en&q=site%3Aplugins.jquery.com+(q),jQuery Plugin Search,""
du,http://delicious.com/(q),Delicious User Quickjump,Jump to a user's page on Delicious
amazon_eric_meyer,http://www.amazon.com/exec/obidos/search-handle-url/index=blended&field-keywords=eric+meyer+css,Amazon.com: eric meyer css,temporary link for Eugenia
verb2,http://humanities.uchicago.edu/orgs/ARTFL/forms_unrest/inflect.query.html,Verb Conjugation,""
myth,http://www.pantheon.org/,encyclopedia mythica,"Most popular areas

   1. Greek mythology
   2. Norse mythology
   3. Roman mythology
   4. Celtic mythology
   5. Greek people
Welcome to the Encyclopedia Mythica

Please enter the award-winning internet encyclopedia of mythology, folklore, and religion. Here you will find everything from A-gskw to Zveda Vechanyaya, with plenty in between.

The mythology section is divided to six geographical regions: Africa, Americas, Asia, Europe, Middle East, and Oceania. Each region has many clearly defined subdivisions that will ease your search.
The Folklore section contains general folklore, Arthurian legends, and fascinating folktales from many lands.

In addition, we feature special interest areas to enhance and refine your research. A Bestiary, legendary heroes, an image gallery, and genealogical tables of various pantheons and prominent houses.

To bring our entities to life, we have created an image gallery, where you will find hundreds of images of all kinds of deities, heroes, and strange creatures of every description.

The encyclopedia will serve the serious researcher, the student, and the casual reader with equal success. Come in and enjoy! Think mythology, think EM!

"
gas3,http://www.google.com/search?q=site:http://livedocs.adobe.com/flash/9.0/ActionScriptLangRefV3 (q),Google Search for Adobe's AS3 LiveDocs,"Adobe's LiveDocs servers are generally very slow, and there doesn't seem to be a way to restrict searches to a specific technology, but this Google search helps get past that, at least for AS3 documentation"
book,http://www.bookfinder.com/search/?author=&lang=en&submit=Begin+search&new_used=*&destination=us&currency=USD&mode=basic&st=sr&ac=qr&title=(q),BookFinder.com Search by Title,"BookFinder.com is a one-stop ecommerce search engine that searches over 150 million books for saleâ€”new, used, rare, out-of-print, and textbooks. We save you time and money by searching every major catalog online, and letting you know which booksellers are offering the best prices and selection. When you find a book you like, you can buy it directly from the original seller; we never charge a markup."
span,http://www.wordreference.com/es/translation.asp?tranword=&dict=enes&B10=Search,eng to span,eng to span word ref
spen,http://www.wordreference.com/es/en/translation.asp?spen=,spanish to english ,span to eng word ref
wref,http://www.wordreference.com/,word reference,"word reference, fren port span fren & just E"
mf,http://flickr.com/search/?w=22863082%40N00&m=tags&q=(q),Flickr Tag Search (Sikelianos' Photos),""
local,http://localhost:3000,Rails Localhost,""
svn,https://wush.net/svn/(q)/,Wush Web-based SVN Browser Quickjump,""
fv,http://machaut.uchicago.edu/?action=search&resource=conjugator&verb=(q),uChicago French Verb Conjugator,"- Enter a French verb (in the infinitive) and press the ""Conjugate"" button to see the forms of the verb for the tenses you have selected.
- If you cannot enter accented characters directly, you may use the following symbols after the character in question to indicate an accent:

\ for grave		a\ becomes Ã 
/ for aigu	e/ becomes Ã©
^ for circonflexe	e^ becomes Ãª
, for cedille	c, becomes Ã§
"" for trema	o"" becomes Ã¶"
railsapi,http://api.rubyonrails.org/,Rails Framework Documentation,""
age,javascript:alert(document.lastModified);,Show Current Page's Last Modified Date,Show the current page's lastModified date
iuts,http://osx.iusethis.com/search?q=(q),IUseThis.com Search,iusethis.com is a new way for you to organize your applications as well as discover new ones. You can also use it to check if your apps are up-to-date.
laen,http://arts.cuhk.edu.hk/cgi-bin/aglimpse-latin/16/www/Lexis/Latin?query=(q)&case=on&whole=on&errors=0,Latin to English Translation,"Translate Latin to English.

Usage: laen mitis"
zicons,http://zeke.sikelianos.com/vault/assets/icons/v_bundle/search.html,My Icon Collection,""
nova,http://www.mininova.org/search/?search=(q),Mininova Torrent Search,"Mininova is one of the largest torrent listing sites. The site started in January 2005 as a successor to the (at that time very popular) Suprnova.org, which went offline at the end of 2004 due to legal issues. It is a directory and search engine for many kinds of torrent files."
hours,http://dashboard.elctech.com/time_entries,ELC Work Log,""
essyn,http://www.wordreference.com/sinonimos/(q),Spanish Synonyms,""
dash,http://dashboard.elctech.com/,ELC Dashboard,""
passwords,"javascript:(function(){var s,F,j,f,i; s = %22%22; F = document.forms; for(j=0; j<F.length; ++j) { f = F[j]; for (i=0; i<f.length; ++i) { if (f[i].type.toLowerCase() == %22password%22) s += f[i].value + %22\n%22; } } if (s) alert(%22Passwords in forms on t",View Passwords,""
agent,javascript:document.write(navigator.userAgent),User Agent Info,""
promo,void(open('http://retailmenot.com/view/'+encodeURIComponent(document.domain)));,Find RetailMeNot Codes for Current Domain,"RetailMeNot.com is an easy way to find online coupon codes. Enter these codes at the checkout page of participating merchants for instant discounts.

current-window version: javascript:location.href='http://retailmenot.com/view/'+encodeURIComponent(document.domain)"
oed,http://dictionary.oed.com/cgi/findword?query_type=word&queryword=(q),OED Quicksearch,You need to have an account with them to use this service.
scrabble,http://spod.cx/cheat-o-matic.shtml?letters=(q)&dict=sowpods&Cheat=Cheat,Scrabble Cheat-o-Matic,"To use the Scrabble cheat-o-matic, enter the letters you have below. Add any additional letters of places on the board that look promising to get a list of all the possible words that you can play. The Scrabble cheat-o-matic only handles single blank tiles, so in the unlikely event you have both blanks, tough. To enter a blank tile, use the _ (underscore) character."
repo,"/*
Usage:
repo addons
repo defunkt/dotjs
*/

// Assume user is 'heroku' if no slash is present in first arg
if (args[0].indexOf(""/"") == -1) {
 args[0] = ""heroku/""+args[0]; 
}

window.location = ""https://github.com/""+args[0];",GitHub Project Quickjump,"Jump to a Github project.

    gp foo
    gp foo u:bob
    gp u:bob p:jquery"
df,http://dafont.com/en/search.php?q=(q),DaFont Quicksearch,""
sxc,http://www.sxc.hu/browse.phtml?txt=(q)&f=search&w=1,Stock.Xchng,Huge collection of free/cheap stock photography.
last_artist,http://www.last.fm/music/(q),Last.fm - Jump to Artist,"Jump to an artist on Last.fm

Usage
artist Pink Anderson"
yi,http://images.search.yahoo.com/search/images?p=(q),Yahoo Images Search,""
cookies,"javascript:alert('Cookies%20stored%20by%20this%20host%20or%20domain:%5Cn%5Cn'%20+%20document.cookie.replace(/;%20/g,'%5Cn'));",View Cookies,""
whois,"window.location=""http://www.networksolutions.com/whois/results.jsp?domain=""+encodeURIComponent(document.domain);",Whois Lookup,"WHOIS is a TCP-based query/response protocol which is widely used for querying a database in order to determine the owner of a domain name, an IP address, or an autonomous system number on the Internet. WHOIS lookups were traditionally made using a command line interface, but a number of simplified web-based tools now exist for looking up domain ownership details from different databases. Web-based WHOIS clients still rely on the WHOIS protocol to connect to a WHOIS server and do lookups, and command-line WHOIS clients are still quite widely used by system administrators."
icons,http://www.iconfinder.net/index.php?q=(q),Iconfinder Search,""
ghistory,http://www.google.com/history/find?q=(q),Google - Web History,"If you let it, Google archives your search history. Use this command to search your search history. How meta!"
pukka,javascript:document.location.href='pukka:url='+encodeURIComponent(location.href)+'&title='+encodeURIComponent(document.title)+'&extended='+encodeURIComponent(window.getSelection());,Open Pukka for Current Page,"Pukka is a minimalist client for del.icio.us. Fire it up and within seconds you can easily post to one or more del.icio.us accounts. Think of it as a mini blogging application. You can even set Pukka as your external weblog client in NetNewsWire, NewsFire, or Vienna."
f,"window.location=""http://flickr.com/search/?q=""+args.join("" "");",Flickr Search,"Search flickr by tags, text and/or user."
thsrs,http://www.ironicsans.com/thsrs/?q=(q),Thsrs - The Shorter Thesaurus,"Popular new social networking services like Twitter, where users write extremely short messages about whateverâ€™s on their minds, present a challenge: How can you intelligently get across a complex thought in just 140 characters without needing to use ugly abbreviations (e.g. â€œw/o needing 2 use ugly abbrevâ€™sâ€)?

If only there were a service that helps with the struggle of rewriting a 146-letter message to fit in a 140 character limit. Well now there is: Thsrs, the thesaurus that only gives you synonyms shorter than the word youâ€™re looking up. Just enter one of the longer words in your message, and Thsrs will suggest shorter words to use instead."
icon,http://www.iconlet.com/search?n=(q),Icon Search,""
gu,"window.location=""https://github.com/""+args[0];",GitHub User Quickjump,Jump directly to a Github user profile
enpo,http://dictionary.reverso.net/english-portuguese/(q),Translate English to Portuguese,""
hidden,"(function(){var i,f,j,e,div,label,ne; for(i=0;f=document.forms[i];++i)for(j=0;e=f[j];++j)if(e.type==%22hidden%22){ D=document; function C(t){return D.createElement(t);} function A(a,b){a.appendChild(b);} div=C(%22div%22); label=C(%22label%22);",Show Hidden Forms Fields,""
etym,"window.location='http://www.etymonline.com/index.php?searchmode=none&search='+args.join("" "");",Online Etymology Dictionary,"This is a map of the wheel-ruts of modern English. Etymologies are not definitions; they're explanations of what our words meant and how they sounded 600 or 2,000 years ago. The dates beside a word indicate the earliest year for which there is a surviving written record of that word (in English, unless otherwise indicated). This should be taken as approximate, especially before about 1700, since a word may have been used in conversation for hundreds of years before it turns up in a manuscript that has had the good fortune to survive the centuries. The basic sources of this work are Weekley's ""An Etymological Dictionary of Modern English,"" Klein's ""A Comprehensive Etymological Dictionary of the English Language,"" ""Oxford English Dictionary"" (second edition), ""Barnhart Dictionary of Etymology,"" Holthauzen's ""Etymologisches WÃ¶rterbuch der Englischen Sprache,"" Ayto's ""20th Century Words,"" and Chapman's ""Dictionary of American Slang."""
lipsum,http://zeke.sikelianos.com/projects/personal/lipsum/,Lorem Ipsum,""
one,http://www.onelook.com/?ls=a&w=(q),OneLook Dictionary Search,"If you don't know the right word to use, we'll help you find it. No word is too obscure: More than 5 million words in more than 900 online dictionaries are indexed by the OneLook search engine."
wtf,http://www.myfonts.com/WhatTheFont/,WhatTheFont,""
y,http://search.yahoo.com/search?p=(q),Yahoo! Search,Regular old Yahoo search.
tu,window.location='http://twitter.com/'+args[0];,Twitter User Quickjump,"Jump to a twitter user's page.

Usage: tu zeke"
