Keyword,Script,Name,Description
npm,"location=""https://npmjs.org/package/""+args[0];",Show NPM Module,""
mp3,"location=""http://www.amazon.com/s/ref=ntt_srch_drd_B0073QR2LO?ie=UTF8&index=digital-music&search-type=ss&field-keywords=""+args.join(' ');",Amazon MP3 Search,Search for downloadable music on Amazon
chrome,"location=""https://chrome.google.com/webstore/search/""+args.join(' ');",Google Chrome Store Search,""
noun,"location=""http://thenounproject.com/search/?q=""+args.join("" "");",The Noun Project,Vector icon search
pocket,(function(){ISRIL_H='3c8b';PKT_D='getpocket.com';ISRIL_SCRIPT=document.createElement('SCRIPT');ISRIL_SCRIPT.type='text/javascript';ISRIL_SCRIPT.src='https://'+PKT_D+'/b/r.js';document.getElementsByTagName('head')[0].appendChild(ISRIL_SCRIPT)})();,Save for Later with Pocket,""
ea,"window.location=""https://addons.heroku.com/marketplace/addons/""+ args[0] + ""/edit"";",Edit Addon,""
rotten,"window.location=""http://quickrotten.com/?q=""+args.join("" "");",QuickRotten,A minimalist interface for Rotten Tomatoes movies reviews
show,"window.location=""https://www.queriac.com/users/zeke/commands/""+args[0];",Show Queriac Command,""
tk,"window.location=""https://typekit.com/search?utf8=%E2%9C%93&q=""+args.join("" "");",Typekit Font Search,""
gem,"window.location=""http://rubygems.org/gems/""+args[0];",RubyGems Search,""
gms,"window.location=""https://mail.google.com/mail/u/0/#search/""+args.join("" "");",Gmail Search,""
twitch,"i=10;
setInterval(function() {
  $('body').css(""-webkit-transform"",""rotate(""+ (i=i*-1) +""deg)"")
},500)",Twitchy Page,""
http://www.flickr.com/photos/sikelianos/sets/,"var u == args[0] || ""sikelianos"";
window.location=""http://www.flickr.com/photos/""+u+""/sets/"";",My Flickr Sets,""
zep,"(function(){
  var s=document.createElement('script');
  s.setAttribute('src','https://queriac2.herokuapp.com/zepto.min.js');
  document.getElementsByTagName('head')[0].appendChild(s);
})();",Inject Zepto,""
c,"/*
Usage:
c addons               # github.com/heroku/addons/commits/master
c zeke/queriac2        # github.com/zeke/queriac2/commits/master
*/

// Assume github user is 'heroku' if no slash is present in first arg
if (args[0].indexOf(""/"") == -1) {
 args[0] = ""heroku/""+args[0]; 
}

window.location = ""https://github.com/"" + args[0] + ""/commits/master"";",Github Commits (Heroku),""
cheap,"window.location=""http://www.namecheap.com/domains/domain-name-search/results.aspx?domain=""+args[0];",Namecheap Domain Search,
devl,"window.location=""https://devcenter.heroku.com/articles/""+args[0]",Heroku Devcenter: I'm Feeling Lucky,
w,"window.location=""http://www.google.com/search?btnI=I'm%20Feeling%20Lucky&q=site:en.wikipedia.org ""+args.join("" "");",I'm Feeling Lucky for Wikipedia,
